Date,AAPL,AMZN,GOOGL,MSFT,TSLA,BRK_B,META,NVDA,UNH,SP_500,CPI,Total_nonfarm,Total_private,Average_weekly_earnings,FEDFUNDS,GDP
2021-03,0.005982075369830433,-0.007667835875683153,0.012044631641173394,-0.05359025631703328,-0.07625701089385876,0.0477666734652254,0.13069754747143908,-0.01006073920909788,0.1278172742399032,0.03322950469572831,2.45230811885555,704.0,650.0,1049.09,0.07,215.26454840072407
2021-04,0.07225967111759912,0.08327168105219888,0.1526577102803738,0.16587914409742235,0.032430175373480606,0.07564431986296039,0.12465947101624186,0.1504735546954041,0.0756437768240343,0.058188921797214785,2.90626910167791,263.0,212.0,1053.98,0.07,199.40162343904916
2021-05,0.005025226235284678,-0.04712399453634852,0.002702679876014623,0.021516359682361815,-0.05855390284456029,0.04846357088566356,0.014901576010302366,-0.08031499636891797,0.02917705735660845,0.0030180319668421597,3.25571552598809,447.0,381.0,1059.56,0.06,190.33487902651356
2021-06,0.07846769855973224,0.08441506729314323,0.027573049418384267,0.2901812786271853,0.08157517899761338,-0.04760425296879322,0.06395770392749249,0.06140037014188775,-0.036733704870365806,0.018970402087978965,3.75085967160498,557.0,508.0,1062.1,0.08,178.88448040946335
2021-07,0.05349292548671919,0.06029228170669023,0.10689416326145847,-0.02905630753383899,-0.01178648660576376,0.014933487984341602,0.00519635403356329,-0.02705852266452773,0.03325451526890368,0.02434829221679705,3.03001455558991,689.0,638.0,1067.32,0.1,205.62062515791845
2021-08,0.06750359434723147,0.05734866324975759,0.0748842892583404,0.16876094345452677,0.09116677302939057,0.01882075640155702,0.07330508474576268,0.022954345196314167,0.01519135261466552,0.030631700613407625,4.0529206723710605,517.0,497.0,1067.37,0.09,216.4234850038405
2021-09,-0.06146113921555757,-0.058954539499541464,-0.0749963829772574,-0.08489094514210181,0.06548431998421828,-0.02422181716208626,-0.10396104750625082,-0.031768278439616895,-0.03719424460431652,-0.035118935923616076,4.93068961392651,424.0,409.0,1076.02,0.08,205.4040407601641
2021-10,0.13447201708025627,0.02474592788528475,0.08056293129452591,0.20377592881493034,0.38522424906840574,0.037504041383769796,-0.059509472756645594,-0.0048190591073583025,0.1318090114324143,0.046262929939803236,6.58162335190871,677.0,694.0,1082.63,0.08,195.15975975002013
2021-11,0.0345231851417641,0.08674387800156241,-0.00047905264754135706,0.3267334653306933,0.057779934557151504,-0.030712232955922594,0.04625378681407915,0.0798419403518767,-0.01617482009638877,0.014734728955776157,5.921977524520989,647.0,627.0,1086.8,0.08,227.9955859557218
2021-12,0.009513300727663121,0.11313560646310587,0.007182337587107055,-0.10536947149446765,-0.06197769287515274,0.07144388083160677,0.023940298507462633,-0.05174126560965355,0.1276786113720753,0.029084639836215728,4.864243460542441,510.0,503.0,1089.58,0.08,266.1086725745079
2022-01,-0.08732386044725415,-0.04450122132689452,-0.08139678192399866,-0.218777380872144,-0.18700037002382236,0.04020804160832167,-0.12343303597457868,-0.1432680697933189,-0.07763716427976353,-0.07191725599502431,6.73598572134309,364.0,345.0,1094.4,0.08,232.00906521123244
2022-02,-0.04738630846415273,-0.04172543488481426,-0.008288487052965778,0.03494090242429481,-0.06611578486734247,0.017147435897435972,-0.30929892244246376,0.05302245250431787,0.0018279569892473608,-0.017514367783672036,6.375188165836019,904.0,897.0,1097.56,0.08,191.8818601679988
2022-03,0.06656246814583254,0.09064148166319147,0.06766629086809459,0.15796932310770254,0.34301395074907054,0.13124310697967537,0.10000963020030808,0.09197835000820058,0.1100139529891596,0.05623344977343566,6.22131864885611,414.0,423.0,1104.5,0.2,330.0669522401855
2022-04,-0.08056705957311235,-0.0899685110211426,-0.17823277227513676,-0.3016341516089554,-0.17570355038116348,-0.08025069637883009,-0.10501203764499882,-0.21986748759949246,0.0033842583639528134,-0.07507468982522372,6.92388263628694,254.0,226.0,1105.12,0.33,302.9633717354516
2022-05,-0.055715325179307856,-0.07890509144834411,-0.034162993802175017,-0.021750335017008585,-0.14232219451371575,-0.033950149913686,-0.046806221265773364,-0.10449830187371477,-0.029353377662137452,-0.024133999412283245,7.588878771024411,364.0,343.0,1109.28,0.77,291.30949759106727
